페이지,별점,리뷰
1,5,"네이처 사무용의자를 첨에 받았을 때 내가 과연 잘 조립할 수 있을까 걱정했는데 이게 왠걸? 너무 쉬워 정말 거짓말 안하고 5분만에 했습니다 ^0^ 설명서에도 설명이 잘 되어 있어서 잠깐만 보고도 금방 조립이 되더라구요~ 따로 공구도 필요없이 그냥 끼우기만 하면 끝!! 아내도 벌써 다 조립했냐면서 바로 앉아보고는 디자인뿐만 아니라 넘 편하다고 칭찬받았어요~^_^ 택배박스에도 센스있게 ""아기처럼 소중히 다뤄주세요"" 라고 되어 있어서 안전하게 잘 도착했구요! 색상은 그린으로 했는데 화사하게 내부 인테리어랑 잘 맞아요! 전 갠적으로 이색 추천합니당! 주변이 밝아지는 느낌이에요~ 의자도 앉았을 때 천연라텍스로 푹신해서 오래 앉아도 편한느낌이 들고 허리랑 헤드레스트가 있어서 기대고 있으면 잠들 정도에요...ㅋㅋ 마감도 잘 되어 있고 흔들림도 없어요! 저희 회사 총무팀에서 이번에 노후 의자 교체하는데 넘 만족해서 여기 의자 추천했어요!! 다른 곳에 비해 넘 저렴해서 의문을 가질 수도 있는데 5만원대에 모든 편의기능을 갖춘 의자 찾으신다면 네이처 리얼라텍스 적극 추천합니당!"
1,5,"사무실 의자가 자꾸 소리도 나고 불편해져서 
 녹색창에서 컴퓨터 의자를 검색하다가 알게 되었다.... 상품평도 많고, 전반적으로 만족한다는 글이 많아 바로 구매하려다가 
 아무래도 가격을 생각하여 조금 더 저렴한 상품으로 
 눈을 돌렸는데... 디자인은 비슷하지만 볼트 구멍이 안 맞는다는 글과 
 딱 그 가격이라는 문구들이 자꾸 눈에 들어오자 역시, 메이드 인 코리아가 좋다는 생각!! 
거기에 요추 보호 기능성까지!! 그리하여 다시 ""마이홈 의자""를 다시 검색~ 베이직 보다가 스탠더드 
 스탠더드 보다가 역시 9cm의 리얼 라텍스로 
2개를 주문~후 다음날 도착 첫 번째 의자 설명서 한번 스캔 후 바로 조립~ 
솔직히 설명서도 필요 없는 것 같다. 두 번째 의자 허리 지지대 조립을 하는데 
 볼트가 계속 헛돈다 ㅡㅡ;; 
이거 뭐지 하고 첫 번째 의자 다시 탈거하여 
 손으로 만져보니 안에 잡아주는 너트가 빠진 듯... ㅜㅜ 바로 문의를 위하여 11거리 로그인하여 문의 글 
 남기려다가 다시 보니 휴대폰 번호가 있어 혹시 하고 
 전화하니 바로 받으신다. 상황 설명하니 바로 맞교환해주신다며 정말 
 다음날 등받이 도착~ 지금 새 의자 조립하여 앉아서 글 쓰는 중^^ 
배송도 빠르고, 의자 질감 만족! 내구성은 써봐야 알 것 같고 
 다음 업그레이드 버전에는 허벅지가 닿는 의자 바닥면이 
 살짝 올라가면 좋겠다는 생각이 든다. 지금도 불편하진 않지만 그러면 더 편할 것 같은 생각 
#마이홈의자#사무실의자#"
1,5,총알배송이네여. 화요일 주문햐그 목요일에 받았네요 택배기사님 친절하셔서 감사했어요 아 생각보다 택배박스 부피가 엄청커요. 음 조립은 십분? 제가 똥손이라ㅎㅎ 맨손으로 조립가능해서 좋앗어요 그리고 하루종일 사무실에 앉아만있는데 이의자는 자동적으로 허리를 필수밖에 없네요ㅋㅋ자세교정될듯 발다닥이 땅에 온전히 닿아서 넘나 편해여. 이제 허리좀 곧곧이 피고 바른자세로 있어야 겟어요
1,5,원래 비싸더라도 좋은브랜드 사려고햇엇는데 요의자 저렴하고 평도 좋고 많이들 사셔서 혹시나 해서 사？f어요 배송은 좀 느렷어요 일주일걸렷나.. 큰박스에 왓고 조립은 정말 쉽고 금방해요.앉아보니 왜평이 좋앗나 알거같아요. 너무맘에들어요 등받이가 잇어서 따로 허리쿠션안해도 되고 160센티키여자는 아빠다리하고 앉을수도 잇네요 ㅎㅎ 오래앉아 잇어도 허리도 너무편하네요.
1,3,일단 배송이 빨라서 좋았습니다. 물건도 괜찮은거 같구요. 아쉬운점은 물건을 보니 부숴진게 하나 보이고.. 바닥부분에 긁힘이 좀 보이네요.. 사진상으론 잘 안나오지만.. 사용감으로 느껴질 정도의 스크래치가 좀 있었습니다.. 누가 환불한 물건인지.... 급해서 그냥 씁니다.. 부숴진 부품하나 보내주실 수 있음 보내주세요..
1,5,조립도 쉽고 의자도 편합니다. 가격대비 대만족합니다. 공구 없이 맨손으로도 조립할 수 있어서 더 좋습니다. 오발이 플라스틱이라 내구성이 어떨지는 써봐야 알겠으나 저가제품의 경우 스틸오발도 휘어지는 경험을 했기에 내구성있게 만들어졌으면 플라스틱이 오히려 나을수 있겠다는 생각도 해봅니다. 암튼 만족합니다.
1,3,가격대비는 좋은듯하나 제품의 마감이 조금 별로네요 까진부분도 있고 등쪽 부품은 모서리부분이 만들어지다 기포방울이 생긴건지 구멍이 여러개있더라구요 포장이 조금 충격 완하게 되게끔 해주시면 좋겠네요 집어던져저서 그런가 상자가 많이 찌그러져있더라구요 그래도 조립도 쉽고 의자 쿠션도 8cm로 했는데 만족이네요
1,4,내게 딱 필요한 기능만 포함해서 구매할 수 있어서 좋았고 조립 간편했고 내구성은 나름 튼튼한것 같고 일단 편안하고 포장에 충전재만 포함된다면 더 할 나위없겠네요
1,3,가격만 보고 사는 의자여! 가격치고는 트튼하고 간단하게 슬 수 있어. 가성비가 좋은거지. 자취생들 의자없을때 쓰는 그런거야. 오래쓸만큼 튼튼하고 재질도 나쁘지 않아. 하지만 의자는 비싸고 좋은게 쓰는게 맞다. 돈 있으면 시디즈써라.
1,1,재질.마감.내구성은 보통 입니다. 문제는 기능이.. 의자 높이가 찔끔 조절됩니다.. 그래서 벼개깔고 앉아요 머리받침대는 구지 없어도 될듯 싶네요
2,5,배송도 빠르고 가격대비 너무좋아요 등받이 쿠션은 성인한테는좋은데 12살 딸아이는 아직은 불편한가보더라구요 그것빼고는 다 만족합니다
2,4,"배송은 주문한 다음 날 도착 상품의 상태는 특별한 이상없이 양호 설치는 꼽기만 하면 됨 설명서가 괜히 더 헷갈림 앉아보니 매우 편한 건 아니지만, 저령한 가격에 쓸만하지만 좌우로 너무 쉽게 돌아가네요"
2,3,배송은 빠른데 비닐이 뜯겨있구 설명서도 찢겨있어서 그래서 누가 반품한건가 싶기도 한데 그냥 사용할게요 푹신하기는 합니다
2,5,가격대비 대만족합니다. 의자편하고 조립도 도구 필요없이 맨손으로 가능해서 좋습니다. 볼트조여야 하는 부분은 공장에서 미리 조립되어서 출고되니 편하네요. 빠른배송도 만족합니다.
2,3,등받이가 너무 약합니다 특히 등판이 좌우로 잘 못버텨요 6시방향은 버티는데 5시 7시 방향으로 젖히면 버티는 힘이 별로없어요 ㅠㅠ
2,4,여름에 사용하기 시원하고 디자인 깔끔하고 싼 가격이라 불편하지 않을까 걱정햇는데 전에 쓰던 의자에 비해 불편함도 없고
2,5,조립 완전 쉽구요 2분걸린듯? 생각했던거보다 의자 훨씬 조아요 쿠션도 푹신하고 등받이도 편해요 대만족입니다~~ 꼭사세요!
2,3,가격다운 품질이군요 검품도 엉망이고요 허리가 배기고 각부분연결이 나사 한개로 다 되어있어서 자주 조여줘야함
2,5,의자 조립이 간단하고 쉬워서 좋았어요. 편하고 좋네요. 가격대비 괜찮은 상품인 것 같습니다~
2,5,그린색으로 샀다가 의자 넘넘 좋아서 핑크로 하나 더 샀어요 이번엔 조립 몇초만에 뚝딱했네요ㅋㅋㅋ 강추해요~~ 꼭사세요!
3,1,오프라인 의자 대비 반값이라 샀건만.. 의자 균형도 안맞고 불편하네요. 하루종일 앉아있어야하는데... 돈버렸네요ㅡㅡ 등받이도 뒤로 많이 재껴져있고..
3,4,배송이 하루도 안되서 완료^^ 플라스틱이 부러질까 걱정스럽기는 한데 편하다고하네요... 오래쓰면 좋겠어요~
3,5,가성비 어느 것 과도 비교 할 수 없을 정도로 대단하네요. 조립도 엄청 쉽고 튼튼하네요 추천합니다.
